# y[m],x[m] , colour (r,g,b in 0-255)
-20.0,0.0,0,255,0
-20.0,3500.0,255,0,0
-16.25,0.0,0,255,0
-16.25,3500.0,255,0,0
-12.5,0.0,0,255,0
-12.5,3500.0,255,0,0
-8.75,0.0,0,255,0
-8.75,3500.0,255,0,0
-5.0,0.0,0,255,0
-5.0,3500.0,255,0,0
-1.25,0.0,0,255,0
-1.25,3500.0,255,0,0
2.5,0.0,0,255,0
2.5,3500.0,255,0,0
6.25,0.0,0,255,0
6.25,3500.0,255,0,0
10.0,0.0,0,255,0
10.0,3500.0,255,0,0
13.75,0.0,0,255,0
13.75,3500.0,255,0,0
17.5,0.0,0,255,0
17.5,3500.0,255,0,0
21.25,0.0,0,255,0
21.25,3500.0,255,0,0
-20.0,0.0,255,255,255
20.0,0.0,255,255,255
-20.0,50.0,255,255,255
20.0,50.0,255,255,255
-20.0,100.0,255,255,255
20.0,100.0,255,255,255
-20.0,150.0,255,255,255
20.0,150.0,255,255,255
-20.0,200.0,255,255,255
20.0,200.0,255,255,255
-20.0,250.0,255,255,255
20.0,250.0,255,255,255
-20.0,300.0,255,255,255
20.0,300.0,255,255,255
-20.0,350.0,255,255,255
20.0,350.0,255,255,255
-20.0,400.0,255,255,255
20.0,400.0,255,255,255
-20.0,450.0,255,255,255
20.0,450.0,255,255,255
-20.0,500.0,255,255,255
20.0,500.0,255,255,255
-20.0,550.0,255,255,255
20.0,550.0,255,255,255
-20.0,600.0,255,255,255
20.0,600.0,255,255,255
-20.0,650.0,255,255,255
20.0,650.0,255,255,255
-20.0,700.0,255,255,255
20.0,700.0,255,255,255
-20.0,750.0,255,255,255
20.0,750.0,255,255,255
-20.0,800.0,255,255,255
20.0,800.0,255,255,255
-20.0,850.0,255,255,255
20.0,850.0,255,255,255
-20.0,900.0,255,255,255
20.0,900.0,255,255,255
-20.0,950.0,255,255,255
20.0,950.0,255,255,255
-20.0,1000.0,255,255,255
20.0,1000.0,255,255,255
-20.0,1050.0,255,255,255
20.0,1050.0,255,255,255
-20.0,1100.0,255,255,255
20.0,1100.0,255,255,255
-20.0,1150.0,255,255,255
20.0,1150.0,255,255,255
-20.0,1200.0,255,255,255
20.0,1200.0,255,255,255
-20.0,1250.0,255,255,255
20.0,1250.0,255,255,255
-20.0,1300.0,255,255,255
20.0,1300.0,255,255,255
-20.0,1350.0,255,255,255
20.0,1350.0,255,255,255
-20.0,1400.0,255,255,255
20.0,1400.0,255,255,255
-20.0,1450.0,255,255,255
20.0,1450.0,255,255,255
-20.0,1500.0,255,255,255
20.0,1500.0,255,255,255
-20.0,1550.0,255,255,255
20.0,1550.0,255,255,255
-20.0,1600.0,255,255,255
20.0,1600.0,255,255,255
-20.0,1650.0,255,255,255
20.0,1650.0,255,255,255
-20.0,1700.0,255,255,255
20.0,1700.0,255,255,255
-20.0,1750.0,255,255,255
20.0,1750.0,255,255,255
-20.0,1800.0,255,255,255
20.0,1800.0,255,255,255
-20.0,1850.0,255,255,255
20.0,1850.0,255,255,255
-20.0,1900.0,255,255,255
20.0,1900.0,255,255,255
-20.0,1950.0,255,255,255
20.0,1950.0,255,255,255
-20.0,2000.0,255,255,255
20.0,2000.0,255,255,255
-20.0,2050.0,255,255,255
20.0,2050.0,255,255,255
-20.0,2100.0,255,255,255
20.0,2100.0,255,255,255
-20.0,2150.0,255,255,255
20.0,2150.0,255,255,255
-20.0,2200.0,255,255,255
20.0,2200.0,255,255,255
-20.0,2250.0,255,255,255
20.0,2250.0,255,255,255
-20.0,2300.0,255,255,255
20.0,2300.0,255,255,255
-20.0,2350.0,255,255,255
20.0,2350.0,255,255,255
-20.0,2400.0,255,255,255
20.0,2400.0,255,255,255
-20.0,2450.0,255,255,255
20.0,2450.0,255,255,255
-20.0,2500.0,255,255,255
20.0,2500.0,255,255,255
-20.0,2550.0,255,255,255
20.0,2550.0,255,255,255
-20.0,2600.0,255,255,255
20.0,2600.0,255,255,255
-20.0,2650.0,255,255,255
20.0,2650.0,255,255,255
-20.0,2700.0,255,255,255
20.0,2700.0,255,255,255
-20.0,2750.0,255,255,255
20.0,2750.0,255,255,255
-20.0,2800.0,255,255,255
20.0,2800.0,255,255,255
-20.0,2850.0,255,255,255
20.0,2850.0,255,255,255
-20.0,2900.0,255,255,255
20.0,2900.0,255,255,255
-20.0,2950.0,255,255,255
20.0,2950.0,255,255,255
-20.0,3000.0,255,255,255
20.0,3000.0,255,255,255
-20.0,3050.0,255,255,255
20.0,3050.0,255,255,255
-20.0,3100.0,255,255,255
20.0,3100.0,255,255,255
-20.0,3150.0,255,255,255
20.0,3150.0,255,255,255
-20.0,3200.0,255,255,255
20.0,3200.0,255,255,255
-20.0,3250.0,255,255,255
20.0,3250.0,255,255,255
-20.0,3300.0,255,255,255
20.0,3300.0,255,255,255
-20.0,3350.0,255,255,255
20.0,3350.0,255,255,255
-20.0,3400.0,255,255,255
20.0,3400.0,255,255,255
-20.0,3450.0,255,255,255
20.0,3450.0,255,255,255
-20.0,3500.0,255,255,255
20.0,3500.0,255,255,255
0,0.0,255,255,255
0,10.0,255,255,255
0,20.0,255,255,255
0,30.0,255,255,255
0,40.0,255,255,255
0,50.0,255,255,255
0,60.0,255,255,255
0,70.0,255,255,255
0,80.0,255,255,255
0,90.0,255,255,255
0,100.0,255,255,255
0,110.0,255,255,255
0,120.0,255,255,255
0,130.0,255,255,255
0,140.0,255,255,255
0,150.0,255,255,255
0,160.0,255,255,255
0,170.0,255,255,255
0,180.0,255,255,255
0,190.0,255,255,255
0,200.0,255,255,255
0,210.0,255,255,255
0,220.0,255,255,255
0,230.0,255,255,255
0,240.0,255,255,255
0,250.0,255,255,255
0,260.0,255,255,255
0,270.0,255,255,255
0,280.0,255,255,255
0,290.0,255,255,255
0,300.0,255,255,255
0,310.0,255,255,255
0,320.0,255,255,255
0,330.0,255,255,255
0,340.0,255,255,255
0,350.0,255,255,255
0,360.0,255,255,255
0,370.0,255,255,255
0,380.0,255,255,255
0,390.0,255,255,255
0,400.0,255,255,255
0,410.0,255,255,255
0,420.0,255,255,255
0,430.0,255,255,255
0,440.0,255,255,255
0,450.0,255,255,255
0,460.0,255,255,255
0,470.0,255,255,255
0,480.0,255,255,255
0,490.0,255,255,255
0,500.0,255,255,255
0,510.0,255,255,255
0,520.0,255,255,255
0,530.0,255,255,255
0,540.0,255,255,255
0,550.0,255,255,255
0,560.0,255,255,255
0,570.0,255,255,255
0,580.0,255,255,255
0,590.0,255,255,255
0,600.0,255,255,255
0,610.0,255,255,255
0,620.0,255,255,255
0,630.0,255,255,255
0,640.0,255,255,255
0,650.0,255,255,255
0,660.0,255,255,255
0,670.0,255,255,255
0,680.0,255,255,255
0,690.0,255,255,255
0,700.0,255,255,255
0,710.0,255,255,255
0,720.0,255,255,255
0,730.0,255,255,255
0,740.0,255,255,255
0,750.0,255,255,255
0,760.0,255,255,255
0,770.0,255,255,255
0,780.0,255,255,255
0,790.0,255,255,255
0,800.0,255,255,255
0,810.0,255,255,255
0,820.0,255,255,255
0,830.0,255,255,255
0,840.0,255,255,255
0,850.0,255,255,255
0,860.0,255,255,255
0,870.0,255,255,255
0,880.0,255,255,255
0,890.0,255,255,255
0,900.0,255,255,255
0,910.0,255,255,255
0,920.0,255,255,255
0,930.0,255,255,255
0,940.0,255,255,255
0,950.0,255,255,255
0,960.0,255,255,255
0,970.0,255,255,255
0,980.0,255,255,255
0,990.0,255,255,255
0,1000.0,255,255,255
0,1010.0,255,255,255
0,1020.0,255,255,255
0,1030.0,255,255,255
0,1040.0,255,255,255
0,1050.0,255,255,255
0,1060.0,255,255,255
0,1070.0,255,255,255
0,1080.0,255,255,255
0,1090.0,255,255,255
0,1100.0,255,255,255
0,1110.0,255,255,255
0,1120.0,255,255,255
0,1130.0,255,255,255
0,1140.0,255,255,255
0,1150.0,255,255,255
0,1160.0,255,255,255
0,1170.0,255,255,255
0,1180.0,255,255,255
0,1190.0,255,255,255
0,1200.0,255,255,255
0,1210.0,255,255,255
0,1220.0,255,255,255
0,1230.0,255,255,255
0,1240.0,255,255,255
0,1250.0,255,255,255
0,1260.0,255,255,255
0,1270.0,255,255,255
0,1280.0,255,255,255
0,1290.0,255,255,255
0,1300.0,255,255,255
0,1310.0,255,255,255
0,1320.0,255,255,255
0,1330.0,255,255,255
0,1340.0,255,255,255
0,1350.0,255,255,255
0,1360.0,255,255,255
0,1370.0,255,255,255
0,1380.0,255,255,255
0,1390.0,255,255,255
0,1400.0,255,255,255
0,1410.0,255,255,255
0,1420.0,255,255,255
0,1430.0,255,255,255
0,1440.0,255,255,255
0,1450.0,255,255,255
0,1460.0,255,255,255
0,1470.0,255,255,255
0,1480.0,255,255,255
0,1490.0,255,255,255
0,1500.0,255,255,255
0,1510.0,255,255,255
0,1520.0,255,255,255
0,1530.0,255,255,255
0,1540.0,255,255,255
0,1550.0,255,255,255
0,1560.0,255,255,255
0,1570.0,255,255,255
0,1580.0,255,255,255
0,1590.0,255,255,255
0,1600.0,255,255,255
0,1610.0,255,255,255
0,1620.0,255,255,255
0,1630.0,255,255,255
0,1640.0,255,255,255
0,1650.0,255,255,255
0,1660.0,255,255,255
0,1670.0,255,255,255
0,1680.0,255,255,255
0,1690.0,255,255,255
0,1700.0,255,255,255
0,1710.0,255,255,255
0,1720.0,255,255,255
0,1730.0,255,255,255
0,1740.0,255,255,255
0,1750.0,255,255,255
0,1760.0,255,255,255
0,1770.0,255,255,255
0,1780.0,255,255,255
0,1790.0,255,255,255
0,1800.0,255,255,255
0,1810.0,255,255,255
0,1820.0,255,255,255
0,1830.0,255,255,255
0,1840.0,255,255,255
0,1850.0,255,255,255
0,1860.0,255,255,255
0,1870.0,255,255,255
0,1880.0,255,255,255
0,1890.0,255,255,255
0,1900.0,255,255,255
0,1910.0,255,255,255
0,1920.0,255,255,255
